WBodyID	WaterBodyName	DataSource	StationID	StationName	Actual_StationID	Actual_Latitude	Actual_Longitude	DEP_WBID	SampleDate	ActivityDepth	DepthUnits	Parameter	Characteristic	Sample_Fraction	Result_Value	Result_Unit	QACode	Result_Comment	Original_Result_Value	Original_Result_Unit
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	6/15/1998 12:00:00 AM		m	TN_ugl	Nitrogen		1037	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	7/6/1998 12:00:00 AM		m	TN_ugl	Nitrogen		1598	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	8/17/1998 12:00:00 AM		m	TN_ugl	Nitrogen		1531	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	11/3/1998 12:00:00 AM		m	TN_ugl	Nitrogen		1237	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	1/4/1999 12:00:00 AM		m	TN_ugl	Nitrogen		1689	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	2/1/1999 12:00:00 AM		m	TN_ugl	Nitrogen		1372	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	3/1/1999 12:00:00 AM		m	TN_ugl	Nitrogen		1662	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	4/19/1999 12:00:00 AM		m	TN_ugl	Nitrogen		1172	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	5/3/1999 12:00:00 AM		m	TN_ugl	Nitrogen		1038	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	6/21/1999 12:00:00 AM		m	TN_ugl	Nitrogen		1072	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	7/19/1999 12:00:00 AM		m	TN_ugl	Nitrogen		1538	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	8/16/1999 12:00:00 AM		m	TN_ugl	Nitrogen		1101	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	9/13/1999 12:00:00 AM		m	TN_ugl	Nitrogen		1713	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	10/4/1999 12:00:00 AM		m	TN_ugl	Nitrogen		1582	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	11/8/1999 12:00:00 AM		m	TN_ugl	Nitrogen		1419	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	12/6/1999 12:00:00 AM		m	TN_ugl	Nitrogen		987	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	1/4/2000 12:00:00 AM		m	TN_ugl	Nitrogen		1847	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	2/22/2000 12:00:00 AM		m	TN_ugl	Nitrogen		1227	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	3/20/2000 12:00:00 AM		m	TN_ugl	Nitrogen		1251	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	4/4/2000 12:00:00 AM		m	TN_ugl	Nitrogen		909	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	5/1/2000 12:00:00 AM		m	TN_ugl	Nitrogen		778	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	7/10/2000 12:00:00 AM		m	TN_ugl	Nitrogen		2241	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	8/14/2000 12:00:00 AM		m	TN_ugl	Nitrogen		2162	ug/l	""	Water Institute Calculated		
19650	Bowlees Creek	STORET_21FLMANA	="BC41"	 BC41	="BC41"	27.41641700	-82.57491700	1896	10/2/2000 12:00:00 AM		m	TN_ugl	Nitrogen		669	ug/l	""	Water Institute Calculated		
